HORA,Ticket Entrada,Salida,Saldo ticket,Abonados _Entrada,Abonados _Salida,Abonados _Saldo,Mi-fare Entrada,Mi-fare Salida,Mi-fare Saldo,Saldo Total,AP Manual y Perm.,Saldo Final,Real
1/04/2021 7:00:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 7:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 8:00:00,98,1,97,1,1,0,0,0,0,97,9,88,"0,14"
1/04/2021 8:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 9:00:00,361,50,311,5,1,4,1,1,0,315,9,306,"0,48"
1/04/2021 9:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 10:00:00,659,217,442,16,11,5,1,1,0,447,12,435,"0,68"
1/04/2021 10:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 11:00:00,1.048,490,558,33,28,5,1,1,0,563,14,549,"0,85"
1/04/2021 11:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 12:00:00,1.454,851,603,61,53,8,1,1,0,611,15,596,"0,93"
1/04/2021 12:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 13:00:00,1.924,1.262,662,88,79,9,3,1,2,673,21,652,"1,01"
1/04/2021 13:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 14:00:00,2.366,1.729,637,118,109,9,3,1,2,648,26,622,"0,97"
1/04/2021 14:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 15:00:00,2.775,2.112,663,145,141,4,3,1,2,669,105,564,"0,88"
1/04/2021 15:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 16:00:00,3.186,2.451,735,172,167,5,4,3,1,741,167,574,"0,89"
1/04/2021 16:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 17:00:00,3.588,2.828,760,200,195,5,4,4,0,765,172,593,"0,92"
1/04/2021 17:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 18:00:00,4.007,3.228,779,234,230,4,4,4,0,783,178,605,"0,94"
1/04/2021 18:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 19:00:00,4.093,3.586,507,258,257,1,5,4,1,509,182,327,"0,51"
1/04/2021 19:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 20:00:00,4.114,3.816,298,288,284,4,5,5,0,302,192,110,"0,17"
1/04/2021 20:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 21:00:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 21:30:00,,,0,,,0,,,0,0,,0,"0,00"
1/04/2021 22:00:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 7:00:00,28,1,27,,,0,,,0,27,2,25,"0,04"
2/04/2021 7:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 8:00:00,85,2,83,,,0,,,0,83,5,78,"0,12"
2/04/2021 8:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 9:00:00,226,23,203,1,,1,,,0,204,5,199,"0,31"
2/04/2021 9:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 10:00:00,530,97,433,8,7,1,,,0,434,5,429,"0,67"
2/04/2021 10:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 11:00:00,797,326,471,19,18,1,2,2,0,472,6,466,"0,72"
2/04/2021 11:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 12:00:00,1.099,630,469,43,36,7,3,3,0,476,8,468,"0,73"
2/04/2021 12:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 13:00:00,1.406,926,480,66,60,6,6,4,2,488,9,479,"0,74"
2/04/2021 13:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 14:00:00,1.695,1.219,476,81,79,2,7,5,2,480,17,463,"0,72"
2/04/2021 14:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 15:00:00,1.919,1.501,418,95,98,-3,7,5,2,417,24,393,"0,61"
2/04/2021 15:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 16:00:00,2.159,1.776,383,114,116,-2,7,6,1,382,25,357,"0,56"
2/04/2021 16:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 17:00:00,2.397,2.026,371,138,134,4,7,6,1,376,26,350,"0,54"
2/04/2021 17:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 18:00:00,2.607,2.265,342,156,156,0,7,6,1,343,29,314,"0,49"
2/04/2021 18:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 19:00:00,2.686,2.515,171,175,176,-1,7,6,1,171,33,138,"0,21"
2/04/2021 19:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 20:00:00,2.698,2.629,69,186,188,-2,76,,76,143,35,108,"0,17"
2/04/2021 20:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 21:00:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 21:30:00,,,0,,,0,,,0,0,,0,"0,00"
2/04/2021 22:00:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 7:00:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 7:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 8:00:00,69,1,68,0,0,0,0,0,0,68,4,64,"0,10"
3/04/2021 8:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 9:00:00,195,29,166,3,3,0,0,0,0,166,4,162,"0,25"
3/04/2021 9:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 10:00:00,468,107,361,7,7,0,2,1,1,362,6,356,"0,55"
3/04/2021 10:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 11:00:00,743,353,390,19,17,2,2,1,1,393,,393,"0,61"
3/04/2021 11:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 12:00:00,1.057,621,436,41,35,6,2,2,0,442,13,429,"0,67"
3/04/2021 12:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 13:00:00,1.380,923,457,66,56,10,2,2,0,467,17,450,"0,70"
3/04/2021 13:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 14:00:00,1.670,1.234,436,90,87,3,2,2,0,439,19,420,"0,65"
3/04/2021 14:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 15:00:00,1.935,1.540,395,108,106,2,2,2,0,397,20,377,"0,59"
3/04/2021 15:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 16:00:00,2.194,1.835,359,135,126,9,2,2,0,368,21,347,"0,54"
3/04/2021 16:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 17:00:00,2.442,2.087,355,156,150,6,2,2,0,361,27,334,"0,52"
3/04/2021 17:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 18:00:00,2.675,2.326,349,175,171,4,3,3,0,353,29,324,"0,50"
3/04/2021 18:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 19:00:00,2.786,2.611,175,198,192,6,3,3,0,181,34,147,"0,23"
3/04/2021 19:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 20:00:00,2.805,2.752,53,208,208,0,3,3,0,53,35,18,"0,03"
3/04/2021 20:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 21:00:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 21:30:00,,,0,,,0,,,0,0,,0,"0,00"
3/04/2021 22:00:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 7:00:00,9,,9,,,0,,,0,9,1,8,"0,01"
4/04/2021 7:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 8:00:00,42,,42,,,0,,,0,42,2,40,"0,06"
4/04/2021 8:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 9:00:00,203,21,182,3,,3,,,0,185,2,183,"0,28"
4/04/2021 9:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 10:00:00,609,179,430,7,1,6,3,,3,439,6,433,"0,67"
4/04/2021 10:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 11:00:00,960,518,442,14,11,3,3,3,0,445,8,437,"0,68"
4/04/2021 11:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 12:00:00,1.322,861,461,32,27,5,4,3,1,467,11,456,"0,71"
4/04/2021 12:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 13:00:00,1.702,1.237,465,49,41,8,7,5,2,475,15,460,"0,72"
4/04/2021 13:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 14:00:00,1.976,1.621,355,70,70,0,9,7,2,357,18,339,"0,53"
4/04/2021 14:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 15:00:00,2.185,1.873,312,85,85,0,9,9,0,312,22,290,"0,45"
4/04/2021 15:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 16:00:00,2.373,2.094,279,107,100,7,10,10,0,286,25,261,"0,41"
4/04/2021 16:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 17:00:00,2.578,2.288,290,120,114,6,10,10,0,296,27,269,"0,42"
4/04/2021 17:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 18:00:00,2.729,2.483,246,133,127,6,11,10,1,253,29,224,"0,35"
4/04/2021 18:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 19:00:00,2.801,2.690,111,141,137,4,11,11,0,115,31,84,"0,13"
4/04/2021 19:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 20:00:00,2.802,2.754,48,145,145,0,11,11,0,48,34,14,"0,02"
4/04/2021 20:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 21:00:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 21:30:00,,,0,,,0,,,0,0,,0,"0,00"
4/04/2021 22:00:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 7:00:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 7:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 8:00:00,103,,103,2,2,0,,,0,103,5,98,"0,15"
5/04/2021 8:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 9:00:00,268,33,235,7,7,0,,,0,235,5,230,"0,36"
5/04/2021 9:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 10:00:00,477,196,281,14,8,6,0,0,0,287,5,282,"0,44"
5/04/2021 10:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 11:00:00,747,421,326,28,20,8,3,1,2,336,6,330,"0,51"
5/04/2021 11:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 12:00:00,1.023,643,380,48,38,10,4,3,1,391,10,381,"0,59"
5/04/2021 12:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 13:00:00,1.308,915,393,70,59,11,5,5,0,404,10,394,"0,61"
5/04/2021 13:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 14:00:00,1.538,1.198,340,99,91,8,5,5,0,348,13,335,"0,52"
5/04/2021 14:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 15:00:00,1.747,1.435,312,117,110,7,5,5,0,319,16,303,"0,47"
5/04/2021 15:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 16:00:00,1.987,1.655,332,141,134,7,5,5,0,339,19,320,"0,50"
5/04/2021 16:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 17:00:00,2.215,1.884,331,164,155,9,6,5,1,341,22,319,"0,50"
5/04/2021 17:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 18:00:00,2.416,2.142,274,193,184,9,8,6,2,285,23,262,"0,41"
5/04/2021 18:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 19:00:00,2.434,2.353,81,210,208,2,8,8,0,83,25,58,"0,09"
5/04/2021 19:30:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 20:00:00,,,0,,,0,,,0,0,,0,"0,00"
5/04/2021 20:30:00,,,0,,,0,,,0,0,,0,"0,00"
